,output
0,"Explicação: A notícia contém informações que são factualmente corretas, mas a afirmação de que Kim Jong-un prometeu a maior explosão nuclear do mundo para o dia 25 de abril é uma interpretação exagerada e não confirmada por fontes confiáveis. A notícia também menciona que especialistas alertaram que outro teste nuclear poderá acontecer dentro de 12 dias, o que é uma previsão baseada em especulações e não em fatos concretos. Portanto, a notícia é verdadeira no sentido de que contém informações factuais, mas a interpretação e a previsão de eventos futuros são exageradas e não confirmadas.

Resposta: 1"
1,"Explicação: A notícia fornece detalhes específicos sobre a ocupação da Usina São Fernando por manifestantes do Movimento Sem Terra do Brasil (MSTB) e menciona a dívida da usina e a prisão de José Carlos Bumlai, amigo de Lula. A notícia também menciona a presença da Polícia Militar e a solicitação de um representante do Instituto Nacional de Colonização e Reforma Agrária (Incra). Esses detalhes são consistentes com informações verificáveis e não há indicações de que a notícia seja uma fake news.

Resposta: 1"
2,"Explicação: A notícia é verdadeira. A Coreia do Sul e os Estados Unidos frequentemente realizam exercícios militares conjuntos, incluindo voos de reconhecimento e demonstrações de força. A presença de bombardeiros supersônicos e outros aviões militares é uma prática comum para enviar sinais de advertência e reforçar a aliança entre os dois países. A informação sobre a deslocação de bombardeiros B-52 e a presença de caças F-35b e F-15K também é consistente com operações militares reais.

Resposta: 1"
3,"Explicação: A notícia menciona que Lula, Dilma e FHC foram citados na lista do Procurador-Geral da República (PGR), Rodrigo Janot, e serão investigados por instâncias inferiores. A informação sobre a lista de Janot é verdadeira, pois o PGR realmente elaborou uma lista de pessoas a serem investigadas. No entanto, a afirmação de que ""eles não têm foro"" é incorreta, pois Lula, Dilma e FHC não possuem foro privilegiado, mas isso não impede que sejam investigados por instâncias inferiores. A citação de Lula, seu irmão e seu filho também é verdadeira, pois faz parte do acordo de delação firmado com Alexandrino Alencar. Portanto, a notícia é verdadeira, mas a frase ""eles não têm foro"" é uma interpretação incorreta.

Resposta: 1"
4,"Explicação: A notícia é uma combinação de declarações de Kim Jong-un e John McCain, ambas com um tom de provocação e ameaça. A KCNA, a agência de notícias estatal da Coreia do Norte, confirmou a declaração de Kim Jong-un, mas não há evidências de que Kim realmente tenha enviado um míssil ou que McCain tenha sido alvo específico de uma ameaça. A notícia parece ser uma reação a declarações de McCain, que chamou Kim de ""gordo louco"" e afirmou que a China poderia controlar Kim. A KCNA e as declarações de Kim são parte de uma estratégia de retórica e não necessariamente indicam ações concretas.

Resposta: 0"
5,"Explicação: A notícia menciona um delator, Cláudio Melo Filho, que afirma que a Odebrecht redigiu a Medida Provisória (MP) da Leniência com o aval do ex-ministro Jaques Wagner. No entanto, a MP da Leniência foi, na verdade, redigida pelo governo Dilma Rousseff e não pela Odebrecht. A notícia confunde a criação da MP com a participação da Odebrecht, o que é uma distorção dos fatos. Além disso, a afirmação de que a Odebrecht ""criou a lei que irá puni-la"" é uma interpretação errônea e sensacionalista dos eventos.

Resposta: 0"
6,"Explicação: A notícia é uma mistura de fatos reais e previsões proféticas atribuídas a Vangelia Pandeva Dimitrova, conhecida como Baba Vanga. A parte sobre a profecia de que o 44º presidente dos EUA seria negro e que haveria uma terrível crise econômica sob o 45º presidente, Donald Trump, é uma interpretação de suas previsões. No entanto, a notícia também inclui previsões apocalípticas e eventos futuros que são altamente especulativos e não têm base científica ou histórica comprovada. Portanto, a notícia é uma combinação de fatos e especulações, mas não pode ser considerada completamente verdadeira ou falsa.

Resposta: 0/1"
7,"Explicação: A notícia é verdadeira. Bashar al-Assad realmente fez declarações sobre o ataque químico em Idlib e o uso de mísseis Tomahawk pelos Estados Unidos. A AFP, uma agência de notícias respeitada, reportou essas declarações. Embora Assad tenha feito afirmações controversas e questionáveis, a notícia em si é uma reportagem factual sobre suas declarações.

Resposta: 1"
8,"Explicação: A notícia menciona que a Rússia está movendo seus mísseis nucleares para a fronteira da Europa e aumentando as operações militares na Síria. Esses são eventos que têm sido amplamente cobertos por várias fontes de notícias confiáveis, incluindo a CNN. Além disso, a citação de Mikhail Gorbachev sobre a situação perigosa e o colapso da confiança mútua entre a Rússia e os Estados Unidos é uma indicação de que a notícia está baseada em fatos reais e não em rumores ou desinformação.

Resposta: 1"
9,"Explicação: A notícia é verdadeira. A bomba GBU-43B (Massive Ordnance Air Blast Bomb - MOAB) é uma arma real e foi usada em combate pelo Exército dos Estados Unidos. A bomba foi lançada em um reduto do Estado Islâmico no Afeganistão, e o Pentágono confirmou o uso da arma. A descrição da bomba como ""a mãe de todas as bombas"" e seu poder destrutivo são precisos e corroborados por fontes confiáveis.

Resposta: 1"
