,output
0,"Explicação: A notícia é verdadeira. Ela é baseada em fatos verificáveis e inclui informações detalhadas sobre a programação do Teatro Municipal do Rio, a defesa da Secretaria de Cultura do Estado e as condições financeiras do teatro. A notícia também menciona eventos anteriores de cunho religioso que foram realizados no teatro, o que reforça a legitimidade da informação.

Resposta: 1"
1,"Explicação: A notícia fornecida é uma descrição detalhada de uma série de casos e julgamentos que estão na pauta do Superior Tribunal de Justiça (STJ) em 2018. Esses casos incluem recursos de peemedebistas presos na Operação Lava Jato, questões envolvendo tributações e planos de saúde, e outros temas de relevância jurídica. A notícia é baseada em informações oficiais do STJ e não apresenta elementos que indiquem sua falsidade. Portanto, a notícia é verdadeira.

Resposta: 1"
2,"Explicação: A notícia é baseada em uma reportagem do colunista Lauro Jardim do jornal ""O Globo"", que afirma que o dono da JBS gravou o presidente Michel Temer dando aval para comprar o silêncio do deputado cassado e ex-presidente da Câmara dos Deputados Eduardo Cunha. O Planalto nega essa acusação. Além disso, a notícia menciona que o dono da JBS, Joesley Batista, gravou o senador Aécio Neves pedindo R$ 2 milhões, e que a Polícia Federal rastreou o caminho do dinheiro, que depois foi depositado em uma empresa do também senador Zeze Perrella. A notícia também inclui declarações de parlamentares sobre as reportagens. Diante dessas informações, a notícia parece ser uma reportagem jornalística com base em fontes confiáveis e com declarações de parlamentares, o que sugere que a notícia é verdadeira.

Resposta: 1"
3,"Explicação: A notícia apresenta uma série de exemplos de predadores invertebrados atacando e consumindo vertebrados, incluindo aranhas, centopeias, libélulas, caranguejos, besouros e sanguessugas. Esses exemplos são baseados em estudos científicos e registros de observação, o que os torna credíveis. A notícia também menciona estudos específicos e artigos científicos que suportam suas afirmações, o que adiciona confiabilidade ao conteúdo.

Resposta: 1"
4,"Explicação: A notícia fornece detalhes específicos sobre um protesto contra a PEC 55, incluindo a quantidade de pessoas presentes, os danos causados e a resposta das autoridades. A informação sobre o custo de limpeza e a descrição dos danos são detalhadas e consistentes com o que é esperado de um evento de grande escala. Além disso, a citação de fontes como a Novacap e a União Nacional dos Estudantes (UNE) adiciona credibilidade ao relato. Portanto, a notícia parece ser verdadeira.

Resposta: 1"
5,"Explicação: A notícia fornecida é uma reportagem sobre a morte do crítico literário e sociólogo Antonio Candido, que ocorreu na madrugada de 12 de outubro de 2023. A notícia inclui declarações de várias figuras públicas, incluindo professores, políticos e intelectuais, que lamentam a morte de Candido e destacam sua importância para a literatura e a sociedade brasileira. A notícia é corroborada por fontes confiáveis e não há indicações de que seja uma notícia falsa.

Resposta: 1"
6,"Explicação: A notícia fornece detalhes específicos sobre o incidente, incluindo a presença do senador Aécio Neves, a empresa de táxi aéreo envolvida, e a resposta das autoridades do aeroporto. A GRU Airport, empresa que administra o aeroporto, confirmou o pedido de prioridade e o pouso de emergência. Além disso, a presença do senador foi confirmada em seu perfil oficial do Facebook. A reportagem do Jornal da Globo também fornece detalhes sobre o incidente, mencionando a borracha encontrada na pista e a necessidade de um pouso de emergência. Embora a reportagem não tenha conseguido contato com a Líder Aviação, os detalhes fornecidos são consistentes e corroboram a veracidade da notícia.

Resposta: 1"
7,"Explicação: A notícia fornecida é detalhada e inclui informações específicas sobre o caso, como a prisão dos pais, a denúncia por tortura e homicídio qualificado, e os detalhes sobre a investigação e os depoimentos. Além disso, a notícia menciona fontes confiáveis, como o promotor do caso e o delegado responsável pela investigação. Esses detalhes e a citação de fontes credíveis indicam que a notícia é verdadeira.

Resposta: 1"
8,"Explicação: A notícia fornecida é um relato detalhado e cronológico dos eventos envolvendo Joesley Batista e a delação premiada. Ela inclui informações específicas sobre a reação de Joesley, a decisão de Rodrigo Janot, e os subsequentes eventos que levaram à prisão de Joesley. Esses eventos são amplamente documentados e verificáveis, o que sugere que a notícia é baseada em fatos reais e não em informações falsas.

Resposta: 1"
9,"Explicação: A notícia fornecida é uma sequência cronológica de eventos que ocorreram em Cuba sob o governo de Raúl Castro, desde sua ascensão ao poder em 2006 até a morte de Fidel Castro em 2016. Todos os eventos mencionados são factualmente corretos e bem documentados, incluindo a transferência de poder, reformas econômicas e políticas, e a normalização das relações com os Estados Unidos. A notícia é uma compilação de fatos históricos e não contém informações falsas ou distorcidas.

Resposta: 1"
10,"Explicação: A notícia apresenta uma situação crítica de saúde pública na Venezuela, onde a falta de medicamentos para HIV/Aids está levando a um aumento significativo de mortes e infecções oportunistas. A reportagem detalha a situação de pacientes que estão enfrentando dificuldades para obter tratamento, incluindo a falta de medicamentos, reagentes para exames e até mesmo itens básicos como água potável. A informação é corroborada por fontes como médicos, pacientes e representantes de ONGs, o que reforça a veracidade dos fatos apresentados.

Resposta: 1"
11,"Explicação: A notícia fornece informações detalhadas sobre o número de celulares bloqueados no Brasil entre março de 2016 e novembro de 2017, incluindo dados específicos sobre o número de bloqueios em 2017 e a distribuição entre bloqueios feitos por usuários e por autoridades policiais. A notícia menciona a Agência Nacional de Telecomunicações (Anatel) como a fonte dos dados, o que é uma organização oficial responsável por regulamentar o setor de telecomunicações no Brasil. Além disso, a notícia menciona o Cadastro Nacional de Estações Móveis Impedidas (Cemi), que é um sistema supervisionado pela Anatel, o que adiciona credibilidade aos dados apresentados.

Resposta: 1"
12,"Explicação: A notícia fornecida é uma reportagem detalhada sobre o poeta Pedro Gabriel, que se tornou conhecido por publicar suas poesias em guardanapos e compartilhá-las nas redes sociais. A reportagem inclui informações sobre a criação da página ""Eu me chamo Antônio"", a evolução da carreira de Pedro Gabriel, suas experiências pessoais e suas reflexões sobre a literatura e a internet. Todas as informações fornecidas são consistentes com fatos conhecidos sobre Pedro Gabriel e sua carreira, e não há evidências de desinformação ou exagero. A reportagem é baseada em uma entrevista com Pedro Gabriel e parece ser uma cobertura jornalística legítima.

Resposta: 1"
13,"Explicação: A notícia fornecida é uma descrição detalhada e factual sobre a vida e carreira de Fidel Castro, incluindo sua morte, revolução, governança, e impacto em Cuba e na América Latina. A informação é corroborada por fontes históricas e eventos bem documentados. Portanto, a notícia é verdadeira.

Resposta: 1"
14,"Explicação: A notícia é verdadeira. Ela relata um movimento dentro do Congresso Nacional para discutir a possibilidade de anistia ao caixa 2, um crime eleitoral que envolve doações de campanha não declaradas à Justiça Eleitoral. A notícia cita fontes confiáveis, como parlamentares, líderes de partidos e o ministro do TSE, e inclui declarações de apoio e oposição à anistia. Além disso, a notícia menciona reuniões e discussões sobre a reforma política, o que é um tema relevante e atual.

Resposta: 1"
