,output
0,"Explicação: A notícia fornece detalhes específicos sobre a expulsão do deputado federal Carlos Gaguim do partido Podemos e a possível entrada da senadora Katia Abreu. A notícia menciona uma busca e apreensão no gabinete do deputado, o que é um evento público e verificável. Além disso, a notícia cita uma nota oficial do partido, o que é uma prática comum para comunicar decisões internas. Portanto, a notícia parece ser bem fundamentada e não há indicações de que seja uma notícia falsa.

Resposta: 1"
1,"Explicação: A notícia é verdadeira. Ela relata uma série de eventos e declarações do presidente do PSL, Luciano Bivar, sobre a filiação de Jair Bolsonaro ao partido e suas opiniões sobre questões políticas e históricas. A notícia é baseada em fontes confiáveis, como a Folha de S.Paulo, e não há indicações de que seja uma notícia falsa ou manipulada.

Resposta: 1"
2,"Explicação: A notícia é verdadeira. A decisão do ministro Marco Aurélio Mello do STF liberando Andrea Neves, Frederico Pacheco e Mendherson Souza Lima da prisão domiciliar e outras medidas cautelares é um evento real e documentado. A decisão foi publicada oficialmente e confirmada por fontes confiáveis, incluindo advogados dos envolvidos e o próprio ministro. A notícia também menciona detalhes específicos sobre as investigações e as medidas cautelares, o que adiciona credibilidade ao relato.

Resposta: 1"
3,"Explicação: A notícia fornecida é detalhada e aborda diversos aspectos relacionados à preservação e uso racional da água em Campo Grande. Ela menciona a criação de leis e normas, ações do Poder Público, concessionária, entidades e população para a preservação e recuperação dos recursos hídricos. Além disso, a notícia inclui informações sobre projetos específicos, como o ""Manancial Vivo"" e o ""Córrego Limpo Cidade Viva"", que são desenvolvidos para garantir a sustentabilidade dos recursos hídricos. A notícia também aborda a importância da conscientização e educação ambiental, bem como a atuação do Ministério Público Estadual em defesa dos recursos hídricos. Todas essas informações são corroboradas por dados e fontes confiáveis, como a Agência Nacional de Águas (ANA), a prefeitura de Campo Grande e a concessionária Águas Guariroba.

Resposta: 1"
4,"Explicação: A notícia parece ser uma reportagem detalhada sobre uma conferência organizada por estudantes das universidades de Harvard e MIT, com a participação de várias figuras públicas brasileiras. A conferência tem como objetivo promover o diálogo entre diferentes perspectivas políticas e sociais. A inclusão de figuras como Dilma Rousseff, Sergio Moro, Eduardo Suplicy, Wagner Moura, e outros, sugere uma tentativa de abordar a polarização política no Brasil. A notícia menciona fontes confiáveis, como a BBC Brasil e a Fundação Lemann, e fornece detalhes sobre os palestrantes e moderadores, o que adiciona credibilidade ao conteúdo.

Resposta: 1"
5,"Explicação: A notícia fornecida é uma descrição detalhada das mudanças na apresentação de dois telejornais da TV Globo e do programa Painel da GloboNews. A notícia menciona a substituição de William Waack por Renata Lo Prete no Jornal da Globo e a nomeação de Heraldo Pereira como novo apresentador do Jornal das Dez. Além disso, a notícia inclui informações detalhadas sobre a carreira e as qualificações dos novos apresentadores. Esses detalhes são consistentes com a prática da TV Globo de comunicar mudanças em suas bancadas de jornalismo. Portanto, a notícia parece ser verdadeira e bem fundamentada.

Resposta: 1"
6,"Explicação: A notícia fornecida é uma descrição detalhada de mudanças na equipe de apresentadores do Jornal Hoje e do Jornal das Dez, ambas da Globo. A notícia menciona mudanças específicas, como a substituição de Evaristo Costa por Dony De Nuccio no Jornal Hoje e a substituição de William Waack por Renata Lo Prete no Jornal das Dez. Além disso, a notícia inclui detalhes sobre a carreira e as qualificações dos novos apresentadores, o que é consistente com a prática de comunicação corporativa. Não há indicações de que a notícia seja uma fake news, e os nomes e funções mencionados são consistentes com a estrutura organizacional da Globo.

Resposta: 1"
7,"Explicação: A notícia fornece uma análise detalhada das eleições presidenciais em vários países da América Latina em 2018, incluindo datas, principais candidatos, suas ideias e fatores que podem definir os resultados. A informação é baseada em fontes confiáveis e fornece uma visão abrangente do cenário político na região. Portanto, a notícia é verdadeira.

Resposta: 1"
8,"Explicação: A notícia fornece informações detalhadas sobre a relação entre o uso de Equipamentos de Proteção Individual (EPI) e o direito à aposentadoria especial, conforme estabelecido pelo INSS e pelo Supremo Tribunal Federal (STF). Ela explica que, mesmo com o fornecimento de EPI, o trabalhador pode ter direito à aposentadoria especial se o ambiente de trabalho for considerado insalubre ou perigoso. A notícia também menciona que o INSS pode não aceitar o tempo especial se o EPI não for considerado eficaz em neutralizar o agente nocivo. Além disso, a notícia sugere que o trabalhador pode recorrer a instâncias superiores do INSS ou à Justiça para garantir seus direitos. Todas essas informações são factualmente corretas e estão alinhadas com as regulamentações trabalhistas brasileiras.

Resposta: 1"
9,"Explicação: A notícia fornecida é uma reportagem detalhada sobre o julgamento do ex-presidente Luiz Inácio Lula da Silva no Tribunal Regional Federal da 4ª Região (TRF-4). A reportagem inclui informações sobre a decisão unânime dos desembargadores, a ampliação da pena de Lula de 9 para 12 anos e 1 mês, e as possibilidades de recurso. A notícia é baseada em fontes confiáveis e fornece uma descrição detalhada do julgamento e das decisões tomadas. Portanto, a notícia é verdadeira.

Resposta: 1"
