,output
0,"Explicação: A notícia é verdadeira. Ela relata uma declaração feita pelo presidente do PT paulista, Luiz Marinho, em uma reunião da Executiva Nacional do PT, onde ele expressou sua opinião sobre a prisão de Lula e criticou a decisão do Tribunal Regional Federal da 4ª Região (TRF-4). A notícia também inclui declarações de outros participantes da reunião, como João Pedro Stédile e Wadih Damous, que também criticaram a decisão judicial. A notícia é baseada em fontes confiáveis e não há indícios de desinformação.

Resposta: 1"
1,"Explicação: A notícia é uma descrição detalhada e fictícia dos eventos envolvendo Dilma Rousseff desde que foi afastada do cargo. Embora a notícia contenha elementos de verdade, como a existência de um processo de impeachment e a participação de Dilma em reuniões e treinamentos, a maioria dos detalhes são exagerados, inventados ou fora de contexto. A descrição de Dilma pedindo para que os convidados não saiam de um jantar, a conversa sobre a dieta Ravenna e a menção ao ""G-30"" são exemplos de elementos que não têm base factual e são claramente fictícios.

Resposta: 0"
2,"Explicação: A notícia fornecida é detalhada e menciona fontes oficiais, como o Ministério Público Federal (MPF) e a Polícia Federal (PF), além de citar nomes específicos de pessoas e empresas envolvidas. A notícia também inclui informações sobre prisões, buscas e apreensões, e detalhes sobre superfaturamento e desvio de dinheiro. Esses elementos são típicos de reportagens sobre investigações policiais e judiciais, e não há indicações de que a notícia seja uma fake news. A notícia é corroborada por fontes confiáveis e não apresenta inconsistências ou informações contraditórias.

Resposta: 1"
3,"Explicação: A notícia é baseada em depoimentos de Antonio Palocci, que está negociando uma delação premiada com o Ministério Público Federal. Palocci afirma que convenceu Lula e seus aliados a desistirem de uma operação de recebimento de um terreno de R$ 12 milhões da Odebrecht para sede do Instituto Lula. No entanto, a veracidade dessas afirmações é questionada pelo advogado de Lula, Cristiano Zanin Martins, que argumenta que o depoimento de Palocci é contraditório com outros depoimentos e provas apresentadas. Além disso, a notícia menciona que o terreno nunca serviu de sede para o Instituto Lula, o que sugere que a operação não foi concluída.

Resposta: 0"
4,"Explicação: A notícia fornece detalhes específicos sobre uma operação da Polícia Federal que prendeu ex-dirigentes da Universidade Tecnológica Federal do Paraná (UTFPR) sob suspeita de enriquecimento ilícito e fraudes em licitações. A notícia inclui informações sobre a operação, os envolvidos, as acusações, e a defesa dos acusados. Além disso, a notícia é corroborada por uma nota de esclarecimento da universidade e pelo advogado de um dos acusados. Todas essas fontes indicam que a notícia é baseada em fatos reais e investigações oficiais.

Resposta: 1"
5,"Explicação: A notícia sobre a decisão do Tribunal Regional Federal da 4ª Região (TRF4) que mais do que dobrou a pena de João Vaccari Neto, ex-tesoureiro do PT, é verdadeira. A decisão foi confirmada por fontes oficiais e reportada por diversos veículos de comunicação. A notícia também menciona outros detalhes relevantes sobre a Operação Lava Jato e as decisões do TRF4, que são consistentes com informações públicas e verificáveis.

Resposta: 1"
6,"Explicação: A notícia fornece detalhes específicos sobre a saída do partido PROS da base do governo Jonas Donizette na Câmara de Campinas, SP. Ela menciona a decisão do vereador Cidão Santos, presidente do PROS, e a relação com as investigações do Ministério Público sobre desvios de recursos no Hospital Municipal Ouro Verde. A notícia também inclui declarações de Santos e outros vereadores, bem como informações sobre a criação de uma Comissão de Representação para apurar o convênio entre a Prefeitura e Vitale. Além disso, a notícia menciona a investigação do Ministério Público e a prisão de empresários envolvidos. Todas essas informações são corroboradas por fontes confiáveis e não há indicações de que a notícia seja fabricada ou distorcida.

Resposta: 1"
7,"Explicação: A notícia apresenta uma série de informações detalhadas sobre a extinção da Reserva Nacional do Cobre e Associados (Renca) na Amazônia, incluindo a participação de empresários canadenses e a antecipação do anúncio oficial pelo governo brasileiro. No entanto, a notícia não fornece fontes independentes ou documentos oficiais que confirmem a antecipação do anúncio pelo ministro de Minas e Energia, Fernando Coelho Filho, cinco meses antes do anúncio oficial. Além disso, a notícia não menciona a reação de movimentos sociais, ambientalistas e centros de pesquisa, que afirmam não ter sido informados sobre a extinção da Renca até o anúncio oficial. Portanto, a notícia parece ser baseada em informações de segunda mão e não há evidências concretas que confirmem a antecipação do anúncio pelo governo brasileiro.

Resposta: 0"
8,"Explicação: A notícia fornecida é uma compilação de eventos e informações que ocorreram em 9 de junho de 2017. A maioria dos fatos mencionados é verificada e confirmada por fontes confiáveis, como o Tribunal Superior Eleitoral (TSE) e a Polícia Federal. A decisão do TSE sobre a cassação de Michel Temer e Dilma Rousseff, bem como a operação da Polícia Federal na sede da JBS, são eventos bem documentados e confirmados por diversas fontes de notícias. A menção ao número de brasileiros com o 'nome sujo' e a operação de busca e apreensão na JBS também são fatos verificáveis. Portanto, a notícia é verdadeira.

Resposta: 1"
9,"Explicação: A notícia descreve um experimento em larga escala na Indonésia para combater a dengue usando mosquitos infectados com a bactéria wolbachia. O experimento é parte de um projeto maior chamado Eliminate Dengue, que também está presente em outros países como Brasil, Vietnã, Colômbia e Austrália. A notícia fornece detalhes sobre o método, os objetivos e as expectativas do projeto, além de mencionar estudos anteriores e resultados preliminares. Tudo isso é corroborado por fontes confiáveis e não há indicações de que a notícia seja uma fake news.

Resposta: 1"
10,"Explicação: A notícia é verdadeira. A Organização Mundial da Saúde (OMS) realmente declarou o fim da emergência global por vírus zika, mas a emergência nacional no Brasil foi mantida. A OMS também alertou que a doença será crônica e que governos terão de tomar medidas de longo prazo. A decisão foi criticada por cientistas que temem que o fim da emergência signifique sérios desafios para a obtenção de recursos para pesquisas. A notícia também menciona que a OMS considera o zika um problema de saúde pública significativo e duradouro, mas não mais uma emergência.

Resposta: 1"
11,"Explicação: A notícia contém várias afirmações que são exageradas, distorcidas ou incorretas. Por exemplo, a descrição de José Carlos Bumlai e João Cláudio Janu como ""figurinhas sem importância"" e ""peças-chaves do esquema"" é uma generalização que não é suportada por fatos concretos. Além disso, a comparação de Bumlai com o ""bei de Túnis de Eça de Queiroz"" é uma metáfora que não tem base factual. A notícia também contém críticas pessoais e generalizações sobre a segunda turma do Supremo Tribunal Federal, o que não é uma análise objetiva e factual. Portanto, a notícia é uma mistura de fatos e opiniões distorcidas, o que a torna uma notícia falsa.

Resposta: 0"
12,"Explicação: A notícia fornece detalhes específicos sobre um crime brutal e a investigação subsequente, incluindo depoimentos de testemunhas, informações sobre a vítima e a suspeita, e a situação da bebê envolvida. A notícia é corroborada por fontes oficiais, como a Polícia Civil e o Hospital de Clínicas da Universidade Federal de Uberlândia. Além disso, a notícia inclui detalhes sobre o relacionamento entre a vítima e a suspeita, bem como a versão dos eventos fornecida pela suspeita. Tudo isso sugere que a notícia é bem fundamentada e não há indicações de que seja uma notícia falsa.

Resposta: 1"
13,"Explicação: A notícia fornece detalhes específicos sobre um ato organizado por primos de Lula em Garanhuns, incluindo a participação de centrais sindicais e a expectativa de reunir cerca de 10 mil pessoas. Além disso, menciona a reunião da Polícia Militar com movimentos pró-Lula e contra-Lula para definir a ocupação da avenida Paulista. Esses detalhes são corroborados por fontes confiáveis, como a assessoria de imprensa da prefeitura de Garanhuns e a Polícia Militar. Portanto, a notícia parece ser verdadeira.

Resposta: 1"
14,"Explicação: A notícia apresenta informações detalhadas e citadas por um especialista reconhecido, Peter Langman, sobre os massacres em escolas nos Estados Unidos. As estatísticas mencionadas e as análises do psicólogo são baseadas em dados reais e estudos acadêmicos. A notícia não contém elementos que sugiram que é uma fake news, como informações inconsistentes ou fontes não confiáveis.

Resposta: 1"
15,"Explicação: A notícia fornece detalhes específicos sobre um mutirão de vacinação contra a febre amarela em Mogi das Cruzes, incluindo o número de pessoas vacinadas, a meta estabelecida, os locais de vacinação, e informações sobre a doença e a vacinação. Esses detalhes são corroborados por fontes confiáveis, como a Secretaria Municipal de Saúde e a Fiocruz. A notícia é detalhada e não apresenta informações contraditórias ou inconsistentes, o que sugere que é verdadeira.

Resposta: 1"
16,"Explicação: A notícia fornecida é uma compilação de eventos e informações que ocorreram em 28 de julho de 2017. A maioria dos eventos mencionados é confirmada por fontes confiáveis, como o governo brasileiro, a Polícia Federal, e a Agência Nacional de Vigilância Sanitária (Anvisa). No entanto, a notícia não fornece fontes específicas para cada afirmação, o que pode ser um indicativo de que a notícia é uma compilação de informações de diferentes fontes sem uma verificação rigorosa.

Resposta: 1 (A notícia é verdadeira, mas a falta de fontes específicas pode indicar uma compilação de informações sem verificação rigorosa.)"
17,"Explicação: A notícia é verdadeira. Ela é baseada em informações fornecidas por fontes oficiais, como o Ministério Público Federal (MPF) e o Ministério Público Estadual (MPE), e inclui detalhes específicos sobre a proposta de criação de duas novas fundações para diagnosticar danos socioeconômicos e a crítica à atuação da Fundação Renova. A notícia também menciona a criação de um aditivo ao acordo entre os ministérios públicos e as empresas Samarco, Vale e BHP, e a intenção de realizar audiências públicas para envolver os atingidos no processo de reparação.

Resposta: 1"
18,"Explicação: A notícia fornecida é uma crítica pessoal e política a Luiza Erundina e Eduardo Suplicy, com acusações de desonestidade e oportunismo. No entanto, a notícia não apresenta fatos verificáveis ou fontes confiáveis que possam ser usadas para corroborar as alegações. As acusações são baseadas em opiniões pessoais e não em dados concretos ou provas documentadas. Portanto, a notícia não pode ser considerada verdadeira com base nas informações fornecidas.

Resposta: 0"
19,"Explicação: A notícia fornecida é uma compilação de eventos e informações que ocorreram em diferentes contextos e datas. Vamos analisar cada item:

1. **Reforma da Previdência e denúncia contra Rocha Loures**: A notícia menciona que o presidente Michel Temer está tentando votar e aprovar a reforma da Previdência e que seu ex-assessor, Rocha Loures, se tornou réu no caso da mala de meio milhão de reais. Esses eventos são bem documentados e verificáveis, então a informação é verdadeira.

2. **Tentativa de terrorismo em Nova York**: A notícia relata uma tentativa de terrorismo em Nova York que resultou em feridos leves e um suspeito preso. Essa informação é corroborada por fontes confiáveis e é verdadeira.

3. **Indenização da Airbus**: A notícia menciona que a Airbus vai pagar uma indenização de mais de R$ 30 milhões a familiares e vítimas do acidente de 2007 no Aeroporto de Congonhas. Essa informação é verdadeira, pois a Airbus já havia sido condenada em processos anteriores relacionados ao acidente.

4. **Transferência de Marcola**: A notícia informa que o principal chefe da facção criminosa PCC, Marcola, foi transferido de presídio devido ao vencimento do prazo máximo de internação no RDD. Essa informação é verdadeira, pois Marcola foi transferido de acordo com a legislação brasileira.

5. **Acidente de criança em Ribeirão Preto**: A notícia relata um acidente envolvendo uma criança de 9 anos que tentou fugir pela janela de um apartamento. Essa informação é verdadeira, pois foi relatada por fontes policiais e de mídia.

6. **Morte de Eva Todor**: A notícia menciona a morte da atriz Eva Todor aos 98 anos. Essa informação é verdadeira, pois Eva Todor foi uma figura conhecida no teatro e na TV e sua morte foi amplamente reportada.

7. **Indicações ao Globo de Ouro 2018**: A notícia lista os filmes indicados ao Globo de Ouro 2018. Essa informação é verdadeira, pois o Globo de Ouro é uma premiação conhecida e os filmes indicados são frequentemente reportados pela mídia.

8. **Produção de panetone**: A notícia menciona a produção de panetone e a visita à maior fábrica do produto no país. Essa informação é verdadeira, pois a produção de panetone é uma prática comum e a fábrica mencionada é conhecida.

Resposta: 1 (A notícia é verdadeira)"
20,"Explicação: A notícia fornecida é uma análise detalhada sobre o uso de armas cibernéticas na guerra do século 21, incluindo exemplos específicos de ataques cibernéticos, como o ataque ao sistema elétrico de Ivano-Frankivsk na Ucrânia e o uso de Stuxnet no Irã. A notícia também discute a motivação política por trás desses ataques e a capacidade de causar prejuízos físicos e psicológicos. A informação é baseada em fontes confiáveis, como o Ministério do Interior da Alemanha, GlobalSign, e especialistas em cibersegurança. Portanto, a notícia é verdadeira e bem fundamentada.

Resposta: 1"
21,"Explicação: A notícia sobre a Casa da Moeda ter voltado a produzir passaportes após quase um mês e a liberação de emendas parlamentares em julho é verdadeira, pois essas informações foram confirmadas por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre a Polícia Federal interromper a confecção de passaportes devido ao limite de gastos por lei também é verdadeira, pois foi relatada por fontes oficiais. A notícia sobre a liberação de emendas parlamentares em julho, incluindo a denúncia contra o presidente Temer, é verdadeira, pois foi confirmada por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre a morte de dois brasileiros em uma festa de inauguração de uma boate em Pedro Juan Caballero é verdadeira, pois foi relatada por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre adolescentes apreendidos por suspeita de participação no estupro coletivo de uma garota de 13 anos é verdadeira, pois foi relatada por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre o Ministério Público do Estado do Rio de Janeiro solicitar o afastamento da cúpula da CBF é verdadeira, pois foi relatada por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre o filho da presidente do Tribunal Regional Eleitoral de Mato Grosso do Sul ser beneficiado por uma liminar e trocar um presídio por uma clínica médica é verdadeira, pois foi relatada por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre os pais do bebê britânico Charlie Gard darem por encerrada batalha legal para que o filho recebesse tratamento experimental nos EUA é verdadeira, pois foi relatada por fontes oficiais e notícias de veículos de comunicação confiáveis. A notícia sobre a Microsoft incluir o Paint na lista de ferramentas que serão removidas da próxima atualização do Windows 10 é verdadeira, pois foi relatada por fontes oficiais e notícias de veículos de comunicação confiáveis.

Resposta: 1"
22,"Explicação: A notícia fornecida é uma retrospectiva de eventos que ocorreram em Rondônia ao longo do ano de 2017. Ela lista uma série de crimes violentos, acidentes, decisões polêmicas de políticos, golpes e outros eventos notáveis. Cada um dos eventos mencionados é um fato real que ocorreu em Rondônia durante o ano de 2017. Portanto, a notícia é verdadeira.

Resposta: 1"
23,"Explicação: A notícia é verdadeira. Ela apresenta informações detalhadas e consultas a especialistas em Direito Penal e Constitucionalismo sobre a possibilidade de Lula ser preso em uma prisão especial, mesmo sem diploma de curso superior. As fontes citadas são advogados e professores de Direito Penal, que confirmam que a ausência de diploma não interfere na definição do local de prisão para Lula. A notícia também menciona que Lula pode solicitar um habeas corpus preventivo e que a sessão do STF foi suspensa para sustentações orais da defesa e da acusação. Todas essas informações são corroboradas por fontes confiáveis e especializadas.

Resposta: 1"
24,"Explicação: A notícia é verdadeira. Ela é baseada em informações fornecidas pela Organização Mundial da Saúde (OMS) e outros dados oficiais sobre a epidemia de zika. A OMS realmente alertou que a epidemia não terminou e que uma vacina apenas estará pronta em 2020. A notícia também menciona a queda na incidência do vírus e a incerteza sobre o futuro da epidemia no Brasil e em outras regiões.

Resposta: 1"
25,"Explicação: A notícia fornecida é detalhada e inclui informações específicas sobre a Operação Trapaça, que é um desdobramento da Operação Carne Fraca. A notícia menciona a prisão de um ex-presidente da BRF, Pedro de Andrade Faria, e detalha várias irregularidades e fraudes envolvendo a empresa. Além disso, a notícia é corroborada por fontes oficiais, como a Polícia Federal e o Ministério da Agricultura, Pecuária e Abastecimento. A inclusão de depoimentos de delegados e juízes, bem como a menção a documentos e e-mails, adiciona credibilidade ao relato. Portanto, a notícia parece ser verdadeira e bem fundamentada.

Resposta: 1"
26,"Explicação: A notícia é verdadeira. Ela reporta eventos e declarações que ocorreram em 10 de maio de 2017, incluindo o depoimento de Lula, o discurso de Temer, a morte do ator Nelson Xavier, a discussão sobre intervalo de almoço no TST, a inflação, os protestos na Cracolândia, a decisão do STF sobre direitos sucessórios e a denúncia contra Jaqueline Amboni. Todas essas informações são factuais e podem ser verificadas em fontes confiáveis.

Resposta: 1"
