,label,confidence,explanation,output,claim
0,2,28.0,"A informação fornecida indica que Joesley Batista fez essas declarações em uma entrevista concedida à revista Época. No entanto, a pesquisa na web não fornece detalhes sobre a veracidade dessas declarações ou evidências adicionais que comprovem ou refutem as afirmações. Portanto, embora haja indícios de que Joesley fez essas declarações, falta evidência concreta para confirmar ou negar as afirmações.","Explicação: A informação fornecida indica que Joesley Batista fez essas declarações em uma entrevista concedida à revista Época. No entanto, a pesquisa na web não fornece detalhes sobre a veracidade dessas declarações ou evidências adicionais que comprovem ou refutem as afirmações. Portanto, embora haja indícios de que Joesley fez essas declarações, falta evidência concreta para confirmar ou negar as afirmações.

Resposta: 2

Consulta: Joesley Batista declara que Michel Temer é o chefe da quadrilha mais perigosa do Brasil em entrevista à Época.

Informação comprimida: Joesley Batista afirma que Michel Temer lidera uma quadrilha perigosa em entrevista à Época.

Confiança: 40%

Justificativa: Embora haja indícios de que Joesley fez essas declarações, a falta de detalhes adicionais sobre a veracidade das afirmações ou evidências concretas para comprovar ou refutar as declarações leva a uma confiança moderadamente baixa.","De acordo com Joesley: Temer ""é o chefe da quadrilha mais perigosa do Brasil"". O empresario Joesley Batista, um dos donos da JBS, declarou em uma entrevistaconcedida pela revista Época que o presidente Michel Temer ""é o chefe da quadrilhamais perigosa do Brasil""""Acho que ele me via como um empresário que poderia financiar as campanhas dele efazer esquemas que renderiam propina"", revelou Joesley""Quem não está preso está hoje no Planalto. Essa turma é muita perigosa. Não podebrigar com eles. Nunca tive coragem de brigar com eles. Por outro lado, se vocêbaixar a guarda, eles não têm limites."" afirmou, se referindo a Temer, Cunha,Henrique Meirelles, Padilha e Moreira.""O Eduardo, quando já era presidente da Câmara, um dia me disse assim: ""Joesley,tão querendo abrir uma CPI contra a JBS para investigar BNDES. É o seguinte: vocême dá R$ 5 milhões que eu acabo com a CPI"", contou."
1,2,21.0,"A notícia apresenta divergências significativas entre o advogado e a ex-esposa do pastor evangélico sobre as acusações de abuso. Embora o advogado afirme que as acusações são falsas e peça orações pela justiça, a ex-esposa revela detalhes que sugerem contradições com as declarações do advogado. No entanto, sem acesso a provas concretas ou uma análise mais aprofundada dos fatos, é difícil determinar a veracidade das acusações sem mais informações.","Explicação: A notícia apresenta divergências significativas entre o advogado e a ex-esposa do pastor evangélico sobre as acusações de abuso. Embora o advogado afirme que as acusações são falsas e peça orações pela justiça, a ex-esposa revela detalhes que sugerem contradições com as declarações do advogado. No entanto, sem acesso a provas concretas ou uma análise mais aprofundada dos fatos, é difícil determinar a veracidade das acusações sem mais informações.

Resposta: 2

Consulta: Advogado e ex-esposa divergem sobre acusações de abuso contra pastor evangélico.

Informação comprimida: Advogado afirma acusações contra pastor são falsas, enquanto ex-esposa revela detalhes sobre suposto abuso.

Confiança: 30%

Justificativa: A resposta ""2"" indica a necessidade de mais informações antes de tomar uma decisão definitiva. A confiança é relativamente baixa (30%) devido à falta de evidências concretas e à existência de divergências entre as partes envolvidas.","Advogado de Felipe Heiderich diz que acusação de abuso é falsa e pede que as pessoas orem por ele.  O advogado do pastor se pronunciou através das redes sociais e disse que as informações são falsas.  A cantora Bianca Toledo,  através de sua página no Facebook,  resolveu abrir o jogo e revelou que está se divorciando do pastor evangélico Felipe Heiderich. ""Felipe era uma fraude. Me enganou e enganou a todos. É triste,  mas é a verdade. Choca,  mas é o tempo bíblico que vivemos."" desabafou Bianca. O Pedido de Prisão do Ministério Público foi feito mediante uma série de provas contundentes e mais provas não param de chegar. Orem por mim! Estou de Luto. Mas agora eu só quero Justiça!"" ,  escreveu. Na qualidade de Advogado de Felipe G. Heiderich Segundo venho a público informar que as acusações formuladas contra Felipe são inteiramente falsas e que a polícia saberá investigar para ao final esclarecer a verdade. Informamos ainda que não iremos em busca da mídia para promover qualquer de nossos interesses,  iremos sim provar a inocência de Felipe nos autos do inquérito policial,  confiando no trabalho da Policia e da Justiça! Orem por Felipe para que ele tenha forças para superar essa grave injustiça,  e peçam a Deus que ele faça apenas JUSTIÇA,  nada mais!"
2,1,66.5,"A análise dos resultados da pesquisa na web confirma que o presidente da Câmara dos Deputados, Waldir Maranhão, enviou um ofício aos líderes dos partidos solicitando indicações para formar a comissão que vai analisar o pedido de impeachment de Temer. Isso está alinhado com a informação dada na notícia original. Portanto, não há evidências que contradigam a notícia.","Explicação: A análise dos resultados da pesquisa na web confirma que o presidente da Câmara dos Deputados, Waldir Maranhão, enviou um ofício aos líderes dos partidos solicitando indicações para formar a comissão que vai analisar o pedido de impeachment de Temer. Isso está alinhado com a informação dada na notícia original. Portanto, não há evidências que contradigam a notícia.

Resposta: 1

Consulta: Presidente da Câmara envia ofício sobre impeachment de Temer, aguardando indicações partidárias.

Informação comprimida: Presidente da Câmara dos Deputados envia ofício sobre impeachment de Temer, aguardando indicações partidárias.

Confiança: 95%

Justificativa: A confiança é alta porque a informação principal da notícia é confirmada pelos resultados da pesquisa na web, sem contradições ou evidências de distorção.","Presidente da Câmara poderá dar andamento ao impeachment de Temer.  Waldir Maranhão (presidente ""tapa-buraco"" da Câmara dos Deputados) enviou um ofício aos líderes dos partidos para que indiquem seus representantes na comissão irá analisar o pedido de impeachment do presidente Temer.  Presidente da Câmara disse que a comissão não ""andou"" por falta das indicações partidárias,  e não por inércia da presidência da Casa Maranhão deu a informação em resposta ao deputado Glauber Braga,  que questionou o fato da comissão especial não ter sido instalada porque os líderes partidários não tinham indicado seus representantes."
3,1,59.49999999999999,"A notícia parece estar baseada em fatos reais, pois menciona multas aplicadas pelo Exército brasileiro após a morte da onça Juma durante um evento em Manaus. As informações sobre as multas e as entidades envolvidas (Comando Militar da Amazônia, Centro de Instrução de Guerra na Selva e 1º Batalhão de Infantaria de Selva) são consistentes com o que foi encontrado na pesquisa. No entanto, para ter certeza, seria necessário verificar o relatório técnico do Ipaam e os detalhes específicos da legislação aplicada.","Explicação: A notícia parece estar baseada em fatos reais, pois menciona multas aplicadas pelo Exército brasileiro após a morte da onça Juma durante um evento em Manaus. As informações sobre as multas e as entidades envolvidas (Comando Militar da Amazônia, Centro de Instrução de Guerra na Selva e 1º Batalhão de Infantaria de Selva) são consistentes com o que foi encontrado na pesquisa. No entanto, para ter certeza, seria necessário verificar o relatório técnico do Ipaam e os detalhes específicos da legislação aplicada.

Resposta: 1

Consulta: Multas aplicadas ao Exército brasileiro após morte da onça Juma em Manaus durante desfile de 7 de Setembro.

Informação comprimida: Exército brasileiro multado após morte da onça Juma durante desfile de 7 de Setembro em Manaus.

Confiança: 85%

Justificativa: A confiança é alta porque a notícia é consistente com as informações encontradas na pesquisa, mas não foi possível verificar todos os detalhes, como o relatório técnico do Ipaam, o que leva a uma pequena incerteza.","Exército é punido com multa de R$ 40 mil após ""abater"" onça Juma.  A onça Juma estava no batalhão há 19 anos! Porque ninguém multou antes? Animal era usado em desfiles de 7 de Setembro.  O animal escapou da coleira que o prendia ao ser transportado para a jaula O Comando Militar da Amazônia e o Centro de Instrução de Guerra na Selva (CIGS) foram multados no valor de 40 mil por responsabilidade da morte da onça Juma em Manaus. O Instituto de Proteção Ambiental do Amazonas ( Ipaam ) concluiu o relatório técnico sobre os procedimentos que resultaram no abate do animal. Juma foi baleada por um soldado após exposição no evento da passagem da Tocha Olímpica em Manaus. O CMA foi autuado em R$ 5 mil por contribuir para a utilização de um espécime da fauna silvestre nativa sem a autorização do órgão ambiental competente. O CIGS foi autuado em $ 5 mil por utilizar o animal sem a autorização do órgão ambiental competente. O 1o BIS recebeu três multas: uma de R$ 5 mil por transportar o animal se autorização  mais R$ 5 mil por mantê-lo em cativeiro sem a devida autorização; e outra de R$ 20 mil por construir e fazer funcionar mantenedouro da fauna sem a licença do órgão ambiental. As multas estão baseadas na Lei de Crimes Ambientais 9.605/ 1998 e no Decreto 6.514/2008."
4,2,21.0,"A notícia menciona que Lula estaria oferecendo apoio político a senadores em troca de apoio eleitoral contra o impeachment de Dilma. No entanto, as fontes fornecidas não contêm informações específicas sobre essa suposta oferta de apoio de Lula. As fontes se referem a apoios políticos gerais, mas não confirmam essa especifica oferta. Portanto, há falta de evidências claras e concretas para confirmar ou negar essa informação.","Explicação: A notícia menciona que Lula estaria oferecendo apoio político a senadores em troca de apoio eleitoral contra o impeachment de Dilma. No entanto, as fontes fornecidas não contêm informações específicas sobre essa suposta oferta de apoio de Lula. As fontes se referem a apoios políticos gerais, mas não confirmam essa especifica oferta. Portanto, há falta de evidências claras e concretas para confirmar ou negar essa informação.

Resposta: 2

Consulta: Lula oferece apoio político a senadores em troca de apoio eleitoral contra impeachment de Dilma.

Informação comprimida: Lula supostamente oferece apoio político a senadores em troca de apoio eleitoral contra impeachment de Dilma.

Confiança: 30%

Justificativa: A confiança é baixa porque a notícia não fornece evidências claras e concretas sobre essa suposta oferta de apoio de Lula. É necessário mais investigação para confirmar ou negar essa informação.","Lula oferece apoio político para os senadores: ""Salvem Dilma e eu subo no palanque com vocês!"".  O Antagonista informou que o petista Luiz Inácio Lula da Silva está oferecendo apoio político aos senadores que votarem contra o impeachment de Dilma.  O acordo é o seguinte: Os senadores ajudam Dilma a voltar para o Planalto e em troca Lula oferece sua presença nos palanques para os candidatos [ou para os aliados desses candidatos] que irão disputar as eleições de outubro. Lula perdeu a noção do bom senso [...] se é que algum dia ele teve alguma! Ele não elegerá nem síndico de prédio! Será que tem palanque na Papuda?"
5,1,66.5,"A análise baseia-se nas informações fornecidas e na consulta à web. A notícia menciona que o canal da Igreja Mundial, liderada por Waldemiro Santiago, foi suspenso pela NET devido a uma falta de pagamento. Isso é corroborado pelo resultado da pesquisa na web, que também indica que a Igreja evangélica teve seu canal de TV suspenso pela NET por falta de pagamento, após denúncias de desvios de fundos. Portanto, as informações apresentadas são consistentes entre si.","Explicação: A análise baseia-se nas informações fornecidas e na consulta à web. A notícia menciona que o canal da Igreja Mundial, liderada por Waldemiro Santiago, foi suspenso pela NET devido a uma falta de pagamento. Isso é corroborado pelo resultado da pesquisa na web, que também indica que a Igreja evangélica teve seu canal de TV suspenso pela NET por falta de pagamento, após denúncias de desvios de fundos. Portanto, as informações apresentadas são consistentes entre si.

Resposta: 1

Consulta: Canal da Igreja Mundial suspenso pela NET por falta de pagamento após denúncias de desvios de fundos.

Informação comprimida: Igreja evangélica de Waldemiro Santiago teve canal de TV suspenso pela NET por falta de pagamento.

Confiança: 95%
  
Justificativa: A confiança é alta porque as informações fornecidas na notícia e na pesquisa na web são consistentes e não indicam contradições significativas.","Waldemiro dá o cano na NET e canal da Igreja Mundial sai do ar por falta de pagamento.  O canal da igreja evangélica criada por Waldemiro Santiago,  saiu do ar na operadora Net.  O motivo foi descumprimento do contrato por falta de pagamento,  de acordo com informação de Ricardo Feltrin,  do UOL. A empresa Net confirmou a suspensão do contrato,  mas não revelou o motivo alegando confidecialidade. A Igreja de Santiago está sofrendo reflexos econômicos desde que foi denunciada por desvio de dinheiro doado por fiéis. A ""grana"" do dízimo era aplicada em  propriedades particulares de Valdemiro e sua família. Waldemiro foi investigado pelo Ministério Público e Receita Federal e teve que se desfazer de fazendas,  gados,  veículos,  etc... Após o escândalo,  a igreja perdeu milhares de fiéis. Sem fiéis  sem dinheiro Sem dinheiro  sem canal de TV Sem canal de TV  sem ""arrebanhar"" mais fiéis O pastor dos milagres parece que caiu em um círculo vicioso! Parece que só um milagre poderá salvá-lo!"
6,0,14.0,"A análise das fontes fornecidas não apresenta evidências claras de que Dilma Rousseff tenha realmente participado de um programa de rádio onde um ouvinte fez um comentário ofensivo. As fontes mencionadas parecem se referir a outros eventos ou contextos. Portanto, não há evidências suficientes para confirmar ou negar a veracidade desta notícia específica.","Explicação: A análise das fontes fornecidas não apresenta evidências claras de que Dilma Rousseff tenha realmente participado de um programa de rádio onde um ouvinte fez um comentário ofensivo. As fontes mencionadas parecem se referir a outros eventos ou contextos. Portanto, não há evidências suficientes para confirmar ou negar a veracidade desta notícia específica.

Resposta: 0

Consulta: Comentário ofensivo de ouvinte durante programa de rádio com Dilma Rousseff

Informação comprimida: Não há evidências claras de que Dilma Rousseff tenha participado de um programa de rádio onde um ouvinte fez um comentário ofensivo.

Confiança: 20%

Justificativa: A confiança é baixa porque as fontes fornecidas não confirmam nem negam a informação específica da notícia, e as palavras-chave usadas nas consultas não retornaram resultados direcionados para essa situação específica.","Dilma participa de programa de rádio e ouvinte entra ao vivo: ""Bom dia sua ladra..."".  Em entrevista para uma rádio pernambucana,  um ouvinte fez uma surpresa ao vivo para Dilma.  Dilma continua usando aquele discurso ultrapassado de golpe,  fraude,  etc... aquele blá blá blá de sempre [...] que chega a dar enjoo. O que ela não contava é com a participação ao vivo de um radiouvinte: O link foi aberto para a participação e eis que apareceu o diálogo carinhoso de um fã: "" Bom dia sua ladra ... você deveia ir para a cadeia ... "" O povo ama Dilma!"
7,2,42.0,"A notícia menciona especificamente que Lula levou 8.000+ itens do Palácio Alvorada, o que é confirmado pela pesquisa. No entanto, a notícia também afirma que Dilma tem levado vários pertences do Palácio Alvorada em viagens recentes, mas sem detalhes específicos. Embora haja relatos de que isso tenha ocorrido, não há evidências concretas na pesquisa fornecida que confirmem essa ação específica de Dilma.","Explicação: A notícia menciona especificamente que Lula levou 8.000+ itens do Palácio Alvorada, o que é confirmado pela pesquisa. No entanto, a notícia também afirma que Dilma tem levado vários pertences do Palácio Alvorada em viagens recentes, mas sem detalhes específicos. Embora haja relatos de que isso tenha ocorrido, não há evidências concretas na pesquisa fornecida que confirmem essa ação específica de Dilma.

Resposta: 2

Consulta: Lula levou 8.000+ itens do Palácio Alvorada; relatos sobre Dilma levando pertences do Palácio Alvorada em viagens recentes.

Informação comprimida: Lula levou muitos itens do Palácio Alvorada; existem relatos de que Dilma tem levado pertences do Palácio Alvorada em viagens recentes, mas sem detalhes específicos.

Confiança: 60%","Assim como Lula,  Dilma está levando pertences do Alvorada para sua casa.  O PT e seus correligionários nunca souberam diferenciar o público do privado.  Lula,  com seu jeitão bon vivant,  levou consigo um pouquinho da Presidência da República para seus recantos particulares. Na ápoca,  foram necessários 11 caminhões para transportar mais de 8 mil presentes que integram um acervo de 1.403.417 itens levados dos Palácios. Um dos caminhões era climatizado para levar a adega da presidência. A mudança foi toda paga com dinheiro público,  obviamente. Entre os objetos,  o petista levou para casa duas bicicletas,  duas esteiras ergométricas da presidência (que foram  devolvidas depois),  a cama do Palácio do Alvorada,  uma peça de cristal com o primeiro artigo da Constituição Americana [presente de Obama para o governo brasileiro] ,  um conjunto de taças de prata dado pela rainha Elizabeth,  uma coleção de jóias dadas pela família Real dos Emirados Árabes,  9 mil livros e várias obras de arte. O jornal Estadão disse que a presidente afastada tem levado bem mais que a pequena mala que costumava carregar em suas viagens de fim de semana. De acordo com interlocutores,  a presidenta [que não é mais presidenta] tem levado vários pertences do Palácio da Alvorada a cada viagem. Dilma já fez oito viagens em pouco mais de dois meses para Porto Alegre. Nos últimos dias,  o ""transporte"" de cargas se intensificaram. Ela já tem certeza de que não voltará jamais!"
8,1,66.5,"A notícia parece estar baseada em um resumo dos fatos apresentados pelo STF. As informações sobre a decisão do ministro Lewandowski e os argumentos apresentados pelos prefeitos são consistentes com o que seria esperado de um relato jornalístico sobre um caso judicial. Não há indícios claros de distorção ou inverdades na notícia. Portanto, acredito que a notícia seja verdadeira.","Explicação: A notícia parece estar baseada em um resumo dos fatos apresentados pelo STF. As informações sobre a decisão do ministro Lewandowski e os argumentos apresentados pelos prefeitos são consistentes com o que seria esperado de um relato jornalístico sobre um caso judicial. Não há indícios claros de distorção ou inverdades na notícia. Portanto, acredito que a notícia seja verdadeira.

Resposta: 1

Consulta: Supremo Tribunal Federal concede liminar para retornar prefeitos afastados por suspeita de corrupção.

Informação comprimida: Lewandowski concede liminar para prefeitos de Atibaia e Pinhalzinho retornarem após afastamento por suspeita de corrupção.

Confiança: 95%
  
Justificativa: A notícia é baseada em um resumo dos fatos apresentados pelo STF, e não há indícios de distorção ou inverdades. No entanto, a confiança não é 100% porque a fonte principal (STF) não foi citada diretamente na notícia fornecida.","Lewandowski reconduz dois prefeitos que estavam afastados por suspeitas de corrupção passiva. .  O presidente do Supremo Tribunal Federal (STF),  ministro Ricardo Lewandowski,  concedeu liminar para determinar o retorno ao cargo prefeitos de dois municípios  Atibaia e Pinhalzinho (SP). (fonte: STF ) Lewandowski suspendeu o afastamento determinado pelo TJ-SP. Os autos indicam que o TJ/SP recebeu denúncia contra Saulo Pedroso de Souza (prefeito de Atibaia) e Anderson Luís Pereira (prefeito de Pinhalzinho) pela suposta prática do crime de corrupção passiva e determinou o afastamento de ambos até o término da instrução criminal. O tribunal paulista demonstrou que ambos podem ter cometido outros crimes contra a administração pública,  além de poderem influenciar de forma indevida a coleta de provas. O prefeito de Atibaia alegou ausência de fundamento capaz de sustentar o afastamento determinado pelo TJ-SP,  uma vez que não haveria elementos fáticos que demonstrassem o receio de obstrução da instrução processual. Já o prefeito de Pinhalzinho ajuizou,  nos mesmos autos,  pedido de extensão da medida requerida pelo prefeito de Atibaia."
9,2,42.0,"A notícia menciona que Paulinho da Força, filho do deputado federal Paulinho da Força, foi nomeado para a superintendência regional do INCRA em SP, apesar das promessas de Temer de reduzir a presença de políticos nesses cargos. O resultado da pesquisa na web indica que o Solidariedade, partido dos dois Paulinhos, tem influência na área de agricultura familiar e reforma agrária, o que pode indicar uma possível politização dessas posições. No entanto, a pesquisa fornecida não fornece detalhes específicos sobre a nomeação ou a influência política. Portanto, embora haja indícios de que a situação possa estar sendo politizada, falta evidência concreta para confirmar completamente a afirmação da notícia.","Explicação: A notícia menciona que Paulinho da Força, filho do deputado federal Paulinho da Força, foi nomeado para a superintendência regional do INCRA em SP, apesar das promessas de Temer de reduzir a presença de políticos nesses cargos. O resultado da pesquisa na web indica que o Solidariedade, partido dos dois Paulinhos, tem influência na área de agricultura familiar e reforma agrária, o que pode indicar uma possível politização dessas posições. No entanto, a pesquisa fornecida não fornece detalhes específicos sobre a nomeação ou a influência política. Portanto, embora haja indícios de que a situação possa estar sendo politizada, falta evidência concreta para confirmar completamente a afirmação da notícia.

Resposta: 2

Consulta: Deputado Paulinho da Força nomeado para INCRA em SP, apesar de promessas de Temer sobre menos políticos.

Informação comprimida: Filho de deputado federal nomeado para INCRA em SP, contrariando promessas de redução de políticos.

Confiança: 60%

Justificativa: Embora existam indícios de que a situação possa estar sendo politizada, a falta de detalhes específicos na pesquisa faz com que não seja possível confirmar completamente a afirmação da notícia.","Paulinho da Força emplaca o ""filhão"" no comando regional do INCRA em SP. .  Paulo Alexandre Pereira da Silva (SDD),  deputado estadual por SP e filho do deputado federal Paulinho da Força foi nomeado ontem pelo presidente interino Michel Temer Paulinho [o filho] assumiu a superintendência regional do INCRA  Instituto Nacional de Colonização e Reforma Agrária em SP. Ele não tem qualquer ligação com a área da agricultura e vai contra a ""meta"" de Michel Temer que prometeu que os cargos seriam preenchidos com menos políticos e mais técnicos. Pois é [...] parece que continua tudo do mesmo jeito! Desde que Temer assumiu,  o Solidariedade [partido de Paulo pai e Paulo filho] passou a ter influência sobre a área de agricultura familiar e reforma agrária. Paulinho da Força convenceu Temer a desmembrar os extintos ministérios do Desenvolvimento Agrário e do Desenvolvimento Social,  criando a Secretaria Especial da Agricultura Familiar e Desenvolvimento Agrário."
